,mic_0,mic_1,mic_2,mic_3,mic_4,mic_5,mic_6,output_angle
594,-1,-1,-2,0,0,-1,-1,30
595,-2,-2,-3,-1,-1,-1,-1,30
596,-1,-2,-2,-1,-1,-1,-1,30
597,-1,0,-2,-1,0,-2,-1,30
598,-1,-1,-1,0,-1,-1,-2,30
599,-1,-1,-1,0,0,-1,-2,30
600,0,0,-1,-1,0,-1,-1,30
601,0,1,0,0,1,0,-1,30
602,-1,0,-2,-2,-1,0,-1,30
603,1,0,0,0,0,-1,0,30
604,0,1,0,0,0,0,0,30
605,0,1,0,1,1,-1,0,30
606,0,1,0,0,1,-1,-1,30
607,-1,1,-1,0,1,-1,-1,30
608,0,0,-1,0,0,-1,0,30
609,-1,0,-1,0,0,-1,-1,30
610,-1,-1,0,0,-1,-1,-1,30
611,0,0,-2,-1,-1,-1,-1,30
612,-2,-1,-3,0,-1,-1,-2,30
613,-1,-1,-2,-2,-1,-2,-2,30
614,-2,-1,-2,-2,-1,-1,-2,30
615,-2,-2,-2,-1,-1,-2,-3,30
616,-1,-1,-1,-2,-1,-3,-2,30
617,-3,-1,-1,-1,-2,-1,-2,30
618,-2,0,-2,-1,-2,-2,-1,30
619,-2,0,-1,-2,-2,-2,-1,30
620,-1,0,-1,-2,-1,-2,-1,30
621,-2,0,-1,-2,-2,-2,-1,30
622,-2,-1,-1,-1,-1,-1,-1,30
623,-2,0,-2,-2,-1,-2,-2,30
624,-1,-1,-2,-1,-2,-2,-1,30
625,-1,-1,-1,-2,-1,-1,-1,30
626,-2,0,-1,-1,-1,-2,-1,30
627,-2,-1,-2,-2,-2,-3,-2,30
628,-3,-1,-2,-1,-2,-3,-2,30
629,-2,-2,-3,-2,-2,-3,-2,30
630,-4,-2,-3,-3,-1,-3,-3,30
631,-4,-2,-3,-3,-3,-4,-2,30
632,-4,-1,-3,-2,-2,-3,-3,30
633,-3,-2,-3,-3,-2,-2,-2,30
634,-2,-2,-1,-3,-1,-3,-2,30
635,-3,-2,-2,-2,-2,-3,-3,30
636,-3,-2,-2,-2,-2,-3,-2,30
637,-3,-2,-3,-3,-2,-2,-3,30
638,-2,-2,-2,-3,-2,-2,-2,30
639,-3,-2,-2,-2,-1,-3,-2,30
640,-2,-2,-3,-2,-2,-2,-1,30
641,-3,-2,-2,-2,-3,-3,-1,30
642,-3,-1,-2,-3,-2,-3,-2,30
643,-2,-1,-3,-2,-2,-2,-2,30
644,-2,-2,-2,-2,-2,-3,-2,30
645,-4,-1,-2,-3,-2,-3,-3,30
646,-3,-2,-2,-3,-1,-3,-3,30
647,-3,-2,-3,-3,-2,-3,-3,30
648,-3,-2,-3,-3,-2,-3,-3,30
